,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,Summer Cruising Regions,Summer Hot Spots,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,Winter Cruising Regions,Winter Hot Spots,description
0,H,Motor Yachts,10.0,5.0,8.0,42.6,2015,Fast 140',30429,30429,"Mediterranean, Croatia, France, Italy, Monaco, Montenegro","Amalfi Coast, Corsica, French Riviera, Sardinia",0,0,"Caribbean, Antigua, Bahamas, Saint Martin, St Barts",Virgin Islands,"The 42m/137'10"" ''H' motor yacht built by the Italian shipyard Benetti is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by British designer RWD."
1,105 YCG,Motor Yachts,10.0,5.0,4.0,31.4,2014,Grande 105,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,The 31.4m/103' motor yacht '105 YCG' by the Italian shipyard Azimut offers flexible accommodation for up to 10 guests in 5 cabins and features interior styling by Italian designer Carlo Galeazzi.
2,1K,Open Yachts,6.0,3.0,5.0,33.48,2022,Mangusta 108,16571,19214,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Calvi, Corsica, French Riviera, Sardinia",16571,19214,,,"The 33.48m/109'10"" '1K' open yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins."
3,2 DRUNK,Motor Yachts,8.0,4.0,2.0,21.07,2012,Manhattan 63,0,0,,,4000,4000,,,"The 21m/68'11"" '2 Drunk' motor yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by British designer Sunseeker."
4,2 LADIES,Motor Yachts,12.0,6.0,10.0,46.35,2020,Custom,35857,35857,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Ibiza, Sardinia, The Balearics",35857,35857,,,"The 46.35m/152'1"" motor yacht '2 Ladies' by the Italian shipyard Rossinavi offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Spaldoni."
5,3WWW,Motor Yachts,6.0,3.0,2.0,23.37,2010,Custom,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 23m/75'6"" '3WWW' motor yacht built by the Taiwanese shipyard Horizon is available for charter for up to 6 guests in 3 cabins."
6,4 LIFE,Motor Yachts,8.0,4.0,4.0,26.01,2022,Princess 85 Motor Yacht,5714,7429,"Mediterranean, Greece",Mykonos,5714,5714,"Mediterranean, Greece",Mykonos,"The 25.93m/85'1"" '4 Life' motor yacht built by the British shipyard Princess is available for charter for up to 8 guests in 4 cabins."
7,4A,Motor Yachts,10.0,5.0,6.0,39.4,2024,40Alloy,0,0,"South Pacific, Australia, Fiji, New Zealand, Papua New Guinea","Sydney, Whitsundays",0,0,"South Pacific, Australia, Fiji, New Zealand, Papua New Guinea","Sydney, Whitsundays","The 38.5m/126'4"" '4A' motor yacht built by the Italian shipyard Sanlorenzo is available for charter for up to 10 guests in 5 cabins. This  yacht  features interior styling by Italian designer Francesco Paszkowski Design."
8,5 ACES,Motor Yachts,8.0,4.0,4.0,28.65,2015,Custom,8500,9429,,,8500,9429,,,The 28.65m/94' '5 Aces' motor yacht built by the Italian shipyard Amer is available for charter for up to 8 guests in 4 cabins.
9,5 PALMS,Motor Yachts,8.0,4.0,4.0,26.95,2024,Ferretti 860,0,0,"Caribbean, Bahamas",,0,0,"Caribbean, Bahamas",,"The 26.95m/88'5"" motor yacht '5 Palms' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Ferretti Yachts  and featuring interior styling by Italian designer Ideaeitalia she can comfortably accommodate up to 8 guests in 4 cabins."
10,50 FIFTY,Motor Yachts,10.0,5.0,5.0,32.4,2024,32L,0,0,"Caribbean, Bahamas",Florida,0,0,"Caribbean, Bahamas",Florida,"The 32.5m/106'8"" motor yacht '50 FIFTY' is an excellent new superyacht for the luxury charter market. Delivered by the American shipyard Ocean Alexander  and featuring interior styling by British designer Evan K Marshall she can comfortably accommodate up to 10 guests in 5 cabins."
11,55 FIFTYFIVE,Motor Yachts,9.0,4.0,5.0,31.3,2021,Custom,14643,16286,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",14643,16286,"Mediterranean, France, Italy, Monaco","Amalfi Coast, Corsica, French Riviera, Sardinia",The 31.1m/102' motor yacht '55 Fiftyfive' by the Italian shipyard Cerri Cantieri Navali offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Italian designer Cerri Cantieri Navali.
12,7 ZERO,Motor Yachts,6.0,3.0,2.0,22.0,2007,Custom,3929,4714,,Sardinia,0,0,,,"The 22m/72'2"" '7 Zero' motor yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins."
13,7X,Catamarans,8.0,4.0,3.0,24.38,2019,Sunreef 80 Sailing,12000,12857,"Mediterranean, Croatia, Montenegro",,12000,12857,,,"The 24.4m/80'1"" '7X' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Polish designer Sunreef Yachts."
14,888,Motor Yachts,8.0,4.0,3.0,26.01,2024,85 Opera Super,5500,6500,"Mediterranean, Croatia, Montenegro",,5500,5500,,,"The 26m/85'4"" motor yacht '888' by the Italian shipyard Riva offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Officina Italiana Design."
15,LAST,Open Yachts,6.0,3.0,3.0,24.96,2023,Leopard 24,4143,4643,"Mediterranean, Italy","Amalfi Coast, Sardinia",0,0,,,"The 23.96m/78'7"" '@Last' open yacht built by shipyard Leopard is available for charter for up to 6 guests in 3 cabins."
16,A PLACE IN THE SUN,Motor Yachts,12.0,5.0,5.0,30.48,2024,Broward 100,0,0,"Caribbean, Bahamas","Florida, New England",0,0,"Caribbean, Bahamas",Florida,The 30.48m/100' 'A Place in the Sun' motor yacht built by shipyard Broward is available for charter for up to 12 guests in 5 cabins. This  yacht  features interior styling by Jane Plachter.
17,A SALT WEAPON,Motor Yachts,10.0,5.0,5.0,34.57,2024,35P,0,0,"Caribbean, Bahamas","Florida, Miami",0,0,"Caribbean, Bahamas","Florida, Miami","The 34.6m/113'6"" motor yacht 'A Salt Weapon' is an excellent new superyacht for the luxury charter market. Delivered by the American shipyard Ocean Alexander  and featuring interior styling by Italian designer Giorgio M. Cassetta she can comfortably accommodate up to 10 guests in 5 cabins."
18,AI,Open Yachts,8.0,4.0,3.0,23.8,2006,Alfamarine 78,4571,5143,"Mediterranean, Greece","Mykonos, Santorini",4571,5143,"Mediterranean, Greece, Turkey",Mykonos,"The 23.8m/78'1"" open yacht 'A&I' by shipyard Alfamarine offers flexible accommodation for up to 8 guests in 4 cabins."
19,A SALUTE,Motor Yachts,8.0,4.0,4.0,32.92,2020,Custom,0,0,"Caribbean, Bahamas","Florida, Miami",0,0,"Caribbean, Bahamas",,The 32.92m/108' 'A' Salute' motor yacht built by shipyard Westship is available for charter for up to 8 guests in 4 cabins. This  yacht  features interior styling by Carr Design.
