id,name,type,guests,cabins,crew,length,year,model,summer_low_season_price_per_day_$,summer_high_season_price_per_day_$,winter_low_season_price_per_day_$,winter_high_season_price_per_day_$,description,rating,base_marina,country,photos,userId,createdAt
0,H,Motor Yachts,10.0,5.0,8.0,42.6,2015.0,Fast 140',30429,30429,30429,30429,"The 42m/137'10"" ''H' motor yacht built by the Italian shipyard Benetti is available for charter for up to 10 guests in 5 cabins. This yacht features interior styling by British designer RWD.",4.7,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/H/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/H/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/H/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/H/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/H/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
2,1K,Open Yachts,6.0,3.0,5.0,33.48,2022.0,Mangusta 108,16571,19214,16571,19214,"The 33.48m/109'10"" '1K' open yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins.",5.0,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/1K/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/1K/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/1K/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/1K/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/1K/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
3,2 DRUNK,Motor Yachts,8.0,4.0,2.0,21.07,2012.0,Manhattan 63,4000,4000,4000,4000,"The 21m/68'11"" '2 Drunk' motor yacht built by the British shipyard Sunseeker is available for charter for up to 8 guests in 4 cabins. This yacht features interior styling by British designer Sunseeker.",3.3,Ibiza,Spain,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 DRUNK/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 DRUNK/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 DRUNK/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 DRUNK/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 DRUNK/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
4,2 LADIES,Motor Yachts,12.0,6.0,10.0,46.35,2020.0,Custom,35857,35857,35857,35857,"The 46.35m/152'1"" motor yacht '2 Ladies' by the Italian shipyard Rossinavi offers flexible accommodation for up to 12 guests in 6 cabins and features interior styling by Spaldoni.",4.8,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 LADIES/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 LADIES/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 LADIES/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 LADIES/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/2 LADIES/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
6,4 LIFE,Motor Yachts,8.0,4.0,4.0,26.01,2022.0,Princess 85 Motor Yacht,5714,7429,5714,5714,"The 25.93m/85'1"" '4 Life' motor yacht built by the British shipyard Princess is available for charter for up to 8 guests in 4 cabins.",4.4,Mykonos,Greece,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/4 LIFE/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/4 LIFE/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/4 LIFE/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/4 LIFE/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/4 LIFE/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
8,5 ACES,Motor Yachts,8.0,4.0,4.0,28.65,2015.0,Custom,8500,9429,8500,9429,The 28.65m/94' '5 Aces' motor yacht built by the Italian shipyard Amer is available for charter for up to 8 guests in 4 cabins.,4.2,Mykonos,Greece,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/5 ACES/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/5 ACES/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/5 ACES/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/5 ACES/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/5 ACES/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
11,55 FIFTYFIVE,Motor Yachts,9.0,4.0,5.0,31.3,2021.0,Custom,14643,16286,14643,16286,The 31.1m/102' motor yacht '55 Fiftyfive' by the Italian shipyard Cerri Cantieri Navali offers flexible accommodation for up to 9 guests in 4 cabins and features interior styling by Italian designer Cerri Cantieri Navali.,5.0,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/55 FIFTYFIVE/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/55 FIFTYFIVE/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/55 FIFTYFIVE/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/55 FIFTYFIVE/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/55 FIFTYFIVE/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
12,7 ZERO,Motor Yachts,6.0,3.0,2.0,22.0,2007.0,Custom,3929,4714,3929,3929,"The 22m/72'2"" '7 Zero' motor yacht built by the Italian shipyard Mangusta is available for charter for up to 6 guests in 3 cabins.",4.3,Sardinia,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7 ZERO/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7 ZERO/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7 ZERO/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7 ZERO/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7 ZERO/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
13,7X,Catamarans,8.0,4.0,3.0,24.38,2019.0,Sunreef 80 Sailing,12000,12857,12000,12857,"The 24.4m/80'1"" '7X' catamaran yacht built by the Polish shipyard Sunreef Yachts is available for charter for up to 8 guests in 4 cabins. This yacht features interior styling by Polish designer Sunreef Yachts.",4.7,Calvi,France,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7X/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7X/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7X/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7X/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/7X/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
14,888,Motor Yachts,8.0,4.0,3.0,26.01,2024.0,85 Opera Super,5500,6500,5500,5500,"The 26m/85'4"" motor yacht '888' by the Italian shipyard Riva offers flexible accommodation for up to 8 guests in 4 cabins and features interior styling by Italian designer Officina Italiana Design.",4.4,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/888/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/888/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/888/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/888/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/888/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
15,LAST,Open Yachts,6.0,3.0,3.0,24.96,2023.0,Leopard 24,4143,4643,4143,4143,"The 23.96m/78'7"" '@Last' open yacht built by shipyard Leopard is available for charter for up to 6 guests in 3 cabins.",4.4,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/LAST/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/LAST/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/LAST/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/LAST/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/LAST/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
18,AI,Open Yachts,8.0,4.0,3.0,23.8,2006.0,Alfamarine 78,4571,5143,4571,5143,"The 23.8m/78'1"" open yacht 'A&I' by shipyard Alfamarine offers flexible accommodation for up to 8 guests in 4 cabins.",4.3,Mykonos,Greece,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AI/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AI/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AI/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AI/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/AI/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
20,A,Motor Yachts,11.0,5.0,7.0,34.01,2024.0,Oasis 34M,26857,26857,26857,26857,"The 34m/111'7"" motor yacht 'A+' is an excellent new superyacht for the luxury charter market. Delivered by the Italian shipyard Benetti and featuring interior styling by American designer Bonetti/Kozerski Architecture she can comfortably accommodate up to 11 guests in 5 cabins.",4.8,Amalfi Coast,Italy,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
21,A4,Open Yachts,10.0,4.0,3.0,26.92,2022.0,Leopard 27,8000,8000,8000,8000,"The 27m/88'7"" open yacht 'A4' by shipyard Leopard offers flexible accommodation for up to 10 guests in 4 cabins and features interior styling by Arno.",3.8,Corsica,France,"{""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A4/00_main.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A4/01.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A4/02.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A4/03.jpg"",""https://pub-59edec60055841149d71125f2e73e658.r2.dev/yachts/yachts/A4/04.jpg""}",ff210a03-d01e-49a5-9050-284d1d94490a,2025-10-25 16:58:48.579606
